File,Bridge Type,Target URL,Expected Name,Currently Under Heading,Verdict,Expected Location
alternative/brightedge-alternatives.md,alt-vs,/alternative/ahrefs-alternatives/,Ahrefs,3. Ahrefs,OK,3. Ahrefs
alternative/brightedge-alternatives.md,alt-vs,/alternative/botify-alternatives/,Botify,6. Botify,OK,6. Botify
alternative/clearscope-alternatives.md,neutral,/compare/marketmuse-vs-clearscope/,MarketMuse,(before any heading),MISPLACED,4. MarketMuse
alternative/clearscope-alternatives.md,alt-vs,/alternative/surfer-seo-alternatives/,Surfer SEO,1. Surfer SEO,OK,1. Surfer SEO
alternative/clearscope-alternatives.md,alt-vs,/alternative/frase-alternatives/,Frase,2. Frase.io,OK,2. Frase.io
alternative/clearscope-alternatives.md,alt-vs,/alternative/marketmuse-alternatives/,MarketMuse,4. MarketMuse,OK,4. MarketMuse
alternative/clearscope-alternatives.md,alt-vs,/alternative/semrush-alternatives/,Semrush,7. Semrush SEO Writing Assistant,OK,7. Semrush SEO Writing Assistant
alternative/cognism-alternatives.md,neutral,/compare/cognism-vs-apollo/,Apollo,2. PipeRocket Digital,MISPLACED,paragraph @ 9003-9267
alternative/cognism-alternatives.md,neutral,/compare/cognism-vs-zoominfo/,ZoomInfo,2. PipeRocket Digital,MISPLACED,paragraph @ 9003-9267
alternative/cognism-alternatives.md,alt-vs,/alternative/apollo-alternatives/,Apollo,2. PipeRocket Digital,MISPLACED,paragraph @ 9003-9267
alternative/cognism-alternatives.md,alt-vs,/alternative/zoominfo-alternatives/,ZoomInfo,2. PipeRocket Digital,MISPLACED,paragraph @ 9003-9267
alternative/cognism-alternatives.md,alt-vs,/alternative/kalungi-alternatives/,Kalungi,8. Kalungi,OK,8. Kalungi
alternative/conductor-alternatives.md,alt-vs,/alternative/jasper-alternatives/,Jasper,6. Omniscient Digital,FALSE-POSITIVE,fixed matcher finds NO valid location at all now
alternative/conductor-alternatives.md,alt-vs,/alternative/mutiny-alternatives/,Mutiny,6. Omniscient Digital,MISPLACED,paragraph @ 24850-25122
alternative/convert-alternatives.md,alt-vs,/alternative/ab-tasty-alternatives/,AB Tasty,3. AB Tasty,OK,3. AB Tasty
alternative/copy-ai-alternatives.md,neutral,/compare/writesonic-vs-copy-ai/,Writesonic,(before any heading),MISPLACED,2. Writesonic
alternative/copy-ai-alternatives.md,neutral,/compare/jasper-vs-copy-ai/,Jasper,(before any heading),MISPLACED,1. Jasper AI
alternative/copy-ai-alternatives.md,alt-vs,/alternative/jasper-alternatives/,Jasper,1. Jasper AI,OK,1. Jasper AI
alternative/copy-ai-alternatives.md,alt-vs,/alternative/writesonic-alternatives/,Writesonic,2. Writesonic,OK,2. Writesonic
alternative/demandbase-alternatives.md,neutral,/compare/rollworks-vs-demandbase/,RollWorks,(before any heading),MISPLACED,paragraph @ 2-213
alternative/demandbase-alternatives.md,alt-vs,/alternative/6sense-alternatives/,6sense,1. 6sense,OK,1. 6sense
alternative/demandbase-alternatives.md,neutral,/compare/6sense-vs-demandbase/,6sense,1. 6sense,OK,1. 6sense
alternative/demandbase-alternatives.md,alt-vs,/alternative/rollworks-alternatives/,RollWorks,2. AdRoll ABM (formerly RollWorks),MISPLACED,paragraph @ 2-213
alternative/demandbase-alternatives.md,alt-vs,/alternative/bombora-alternatives/,Bombora,3. Terminus (now part of DemandScience),MISPLACED,paragraph @ 18692-18930
alternative/demandbase-alternatives.md,alt-vs,/alternative/zoominfo-alternatives/,ZoomInfo,6. ZoomInfo,OK,6. ZoomInfo
alternative/demandbase-alternatives.md,alt-vs,/alternative/apollo-alternatives/,Apollo,7. Apollo.io,OK,7. Apollo.io
alternative/directive-consulting-alternatives.md,alt-vs,/alternative/nogood-alternatives/,NoGood,1. NoGood,OK,1. NoGood
alternative/directive-consulting-alternatives.md,piperocket-vs,/compare/piperocket-digital-vs-nogood/,NoGood,1. NoGood,OK,1. NoGood
alternative/directive-consulting-alternatives.md,alt-vs,/alternative/cognism-alternatives/,Cognism,4. Refine Labs,FALSE-POSITIVE,fixed matcher finds NO valid location at all now
alternative/directive-consulting-alternatives.md,neutral,/compare/directive-consulting-vs-refine-labs/,Refine Labs,4. Refine Labs,OK,4. Refine Labs
alternative/directive-consulting-alternatives.md,alt-vs,/alternative/hotjar-alternatives/,Hotjar,6. KlientBoost,FALSE-POSITIVE,fixed matcher finds NO valid location at all now
alternative/directive-consulting-alternatives.md,alt-vs,/alternative/klientboost-alternatives/,KlientBoost,6. KlientBoost,OK,6. KlientBoost
alternative/directive-consulting-alternatives.md,piperocket-vs,/compare/piperocket-digital-vs-klientboost/,KlientBoost,6. KlientBoost,OK,6. KlientBoost
alternative/dreamdata-alternatives.md,neutral,/compare/factors-ai-vs-dreamdata/,Factors,(before any heading),MISPLACED,2. Factors.ai
alternative/dreamdata-alternatives.md,neutral,/compare/dreamdata-vs-hockeystack/,HockeyStack,(before any heading),MISPLACED,1. HockeyStack
alternative/dreamdata-alternatives.md,alt-vs,/alternative/hockeystack-alternatives/,HockeyStack,1. HockeyStack,OK,1. HockeyStack
alternative/factors-ai-alternatives.md,alt-vs,/alternative/directive-consulting-alternatives/,Directive Consulting,1. Directive Consulting,OK,1. Directive Consulting
alternative/factors-ai-alternatives.md,alt-vs,/alternative/kalungi-alternatives/,Kalungi,3. Kalungi,OK,3. Kalungi
alternative/factors-ai-alternatives.md,alt-vs,/alternative/single-grain-alternatives/,Single Grain,5. Single Grain,OK,5. Single Grain
alternative/frase-alternatives.md,neutral,/compare/surfer-seo-vs-frase/,Surfer,(before any heading),MISPLACED,1. Surfer SEO
alternative/frase-alternatives.md,neutral,/compare/marketmuse-vs-frase/,MarketMuse,(before any heading),MISPLACED,3. MarketMuse
alternative/frase-alternatives.md,alt-vs,/alternative/ahrefs-alternatives/,Ahrefs,1. Surfer SEO,MISPLACED,paragraph @ 7160-7429
alternative/frase-alternatives.md,alt-vs,/alternative/semrush-alternatives/,Semrush,1. Surfer SEO,MISPLACED,paragraph @ 7160-7429
alternative/frase-alternatives.md,alt-vs,/alternative/surfer-seo-alternatives/,Surfer SEO,1. Surfer SEO,OK,1. Surfer SEO
alternative/frase-alternatives.md,alt-vs,/alternative/clearscope-alternatives/,Clearscope,2. Clearscope,OK,2. Clearscope
alternative/frase-alternatives.md,alt-vs,/alternative/marketmuse-alternatives/,MarketMuse,3. MarketMuse,OK,3. MarketMuse
alternative/hockeystack-alternatives.md,neutral,/compare/dreamdata-vs-hockeystack/,Dreamdata,(before any heading),MISPLACED,1. Dreamdata
alternative/hockeystack-alternatives.md,alt-vs,/alternative/dreamdata-alternatives/,Dreamdata,1. Dreamdata,OK,1. Dreamdata
alternative/hotjar-alternatives.md,neutral,/compare/hotjar-vs-fullstory/,FullStory,(before any heading),MISPLACED,6. FullStory
alternative/hotjar-alternatives.md,neutral,/compare/hotjar-vs-microsoft-clarity/,Microsoft Clarity,2. Microsoft Clarity,OK,2. Microsoft Clarity
alternative/hotjar-alternatives.md,alt-vs,/alternative/mouseflow-alternatives/,Mouseflow,3. Mouseflow,OK,3. Mouseflow
alternative/hotjar-alternatives.md,neutral,/compare/hotjar-vs-mouseflow/,Mouseflow,3. Mouseflow,OK,3. Mouseflow
alternative/instapage-alternatives.md,neutral,/compare/instapage-vs-leadpages/,Leadpages,(before any heading),MISPLACED,3. Leadpages
alternative/instapage-alternatives.md,alt-vs,/alternative/unbounce-alternatives/,Unbounce,1. Unbounce,OK,1. Unbounce
alternative/instapage-alternatives.md,alt-vs,/alternative/convert-alternatives/,Convert,3. Leadpages,MISPLACED,paragraph @ 15751-15940
alternative/instapage-alternatives.md,alt-vs,/alternative/leadpages-alternatives/,Leadpages,3. Leadpages,OK,3. Leadpages
alternative/instapage-alternatives.md,alt-vs,/alternative/optimizely-alternatives/,Optimizely,5. Webflow,MISPLACED,paragraph @ 23263-23521
alternative/instapage-alternatives.md,alt-vs,/alternative/vwo-alternatives/,VWO,5. Webflow,MISPLACED,paragraph @ 23263-23521
alternative/jasper-alternatives.md,neutral,/compare/jasper-vs-writesonic/,Writesonic,(before any heading),MISPLACED,1. Writesonic
alternative/jasper-alternatives.md,neutral,/compare/jasper-vs-copy-ai/,Copy.ai,(before any heading),MISPLACED,2. Copy.ai
alternative/jasper-alternatives.md,alt-vs,/alternative/writesonic-alternatives/,Writesonic,1. Writesonic,OK,1. Writesonic
alternative/jasper-alternatives.md,alt-vs,/alternative/surfer-seo-alternatives/,Surfer SEO,5. Frase,MISPLACED,paragraph @ 22556-22832
alternative/jasper-alternatives.md,alt-vs,/alternative/frase-alternatives/,Frase,5. Frase,OK,5. Frase
alternative/kalungi-alternatives.md,alt-vs,/alternative/zoominfo-alternatives/,ZoomInfo,1. Directive Consulting,FALSE-POSITIVE,fixed matcher finds NO valid location at all now
alternative/kalungi-alternatives.md,alt-vs,/alternative/directive-consulting-alternatives/,Directive Consulting,1. Directive Consulting,OK,1. Directive Consulting
alternative/kalungi-alternatives.md,piperocket-vs,/compare/piperocket-vs-directive-consulting/,Directive Consulting,1. Directive Consulting,OK,1. Directive Consulting
alternative/kalungi-alternatives.md,alt-vs,/alternative/jasper-alternatives/,Jasper,3. Omniscient Digital,MISPLACED,paragraph @ 17651-17961
alternative/kalungi-alternatives.md,alt-vs,/alternative/cognism-alternatives/,Cognism,8. Refine Labs,FALSE-POSITIVE,fixed matcher finds NO valid location at all now
alternative/klientboost-alternatives.md,piperocket-vs,/compare/piperocket-digital-vs-klientboost/,KlientBoost,(before any heading),MISPLACED,paragraph @ 2-237
alternative/klientboost-alternatives.md,alt-vs,/alternative/zoominfo-alternatives/,ZoomInfo,1. Directive Consulting,MISPLACED,paragraph @ 6117-6449
alternative/klientboost-alternatives.md,alt-vs,/alternative/directive-consulting-alternatives/,Directive Consulting,1. Directive Consulting,OK,1. Directive Consulting
alternative/klientboost-alternatives.md,piperocket-vs,/compare/piperocket-vs-directive-consulting/,Directive Consulting,1. Directive Consulting,OK,1. Directive Consulting
alternative/klientboost-alternatives.md,alt-vs,/alternative/nogood-alternatives/,NoGood,4. NoGood,OK,4. NoGood
alternative/klientboost-alternatives.md,piperocket-vs,/compare/piperocket-digital-vs-nogood/,NoGood,4. NoGood,OK,4. NoGood
alternative/klientboost-alternatives.md,neutral,/compare/klientboost-vs-disruptive-advertising/,Disruptive Advertising,5. Disruptive Advertising,OK,5. Disruptive Advertising
alternative/leadfeeder-alternatives.md,neutral,/compare/leadfeeder-vs-albacross/,Albacross,(before any heading),MISPLACED,6. Albacross
alternative/leadfeeder-alternatives.md,alt-vs,/alternative/demandbase-alternatives/,Demandbase,1. Demandbase,OK,1. Demandbase
alternative/leadfeeder-alternatives.md,alt-vs,/alternative/6sense-alternatives/,6sense,3. 6sense,OK,3. 6sense
alternative/lusha-alternatives.md,neutral,/compare/uplead-vs-apollo/,UpLead,(before any heading),MISPLACED,6. UpLead
alternative/lusha-alternatives.md,neutral,/compare/kaspr-vs-lusha/,Kaspr,(before any heading),MISPLACED,8. Kaspr
alternative/lusha-alternatives.md,neutral,/compare/lusha-vs-cognism/,Cognism,(before any heading),MISPLACED,3. Cognism
alternative/lusha-alternatives.md,alt-vs,/alternative/apollo-alternatives/,Apollo,1. Apollo.io,OK,1. Apollo.io
alternative/lusha-alternatives.md,alt-vs,/alternative/cognism-alternatives/,Cognism,3. Cognism,OK,3. Cognism
alternative/lusha-alternatives.md,alt-vs,/alternative/zoominfo-alternatives/,ZoomInfo,4. ZoomInfo,OK,4. ZoomInfo
alternative/mangools-alternatives.md,alt-vs,/alternative/serpstat-alternatives/,Serpstat,4. Serpstat,OK,4. Serpstat
alternative/marketmuse-alternatives.md,neutral,/compare/marketmuse-vs-frase/,Frase,(before any heading),MISPLACED,3. Frase
alternative/marketmuse-alternatives.md,alt-vs,/alternative/optimizely-alternatives/,Optimizely,2. Clearscope,FALSE-POSITIVE,fixed matcher finds NO valid location at all now
alternative/mouseflow-alternatives.md,neutral,/compare/vwo-vs-optimizely/,VWO,(before any heading),MISPLACED,7. VWO (Insights)
alternative/mouseflow-alternatives.md,alt-vs,/alternative/optimizely-alternatives/,Optimizely,(before any heading),FALSE-POSITIVE,fixed matcher finds NO valid location at all now
alternative/mouseflow-alternatives.md,alt-vs,/alternative/hotjar-alternatives/,Hotjar,2. Hotjar (by Contentsquare),OK,2. Hotjar (by Contentsquare)
alternative/mouseflow-alternatives.md,neutral,/compare/hotjar-vs-mouseflow/,Hotjar,2. Hotjar (by Contentsquare),OK,2. Hotjar (by Contentsquare)
alternative/mouseflow-alternatives.md,alt-vs,/alternative/vwo-alternatives/,VWO,7. VWO (Insights),OK,7. VWO (Insights)
alternative/moz-alternatives.md,neutral,/compare/moz-vs-semrush/,Semrush,(before any heading),MISPLACED,1. Semrush
alternative/moz-alternatives.md,neutral,/compare/ahrefs-vs-moz/,Ahrefs,(before any heading),MISPLACED,2. Ahrefs
alternative/moz-alternatives.md,neutral,/compare/serpstat-vs-moz/,Serpstat,(before any heading),MISPLACED,4. Serpstat
alternative/moz-alternatives.md,alt-vs,/alternative/semrush-alternatives/,Semrush,1. Semrush,OK,1. Semrush
alternative/moz-alternatives.md,alt-vs,/alternative/ahrefs-alternatives/,Ahrefs,2. Ahrefs,OK,2. Ahrefs
alternative/moz-alternatives.md,alt-vs,/alternative/serpstat-alternatives/,Serpstat,4. Serpstat,OK,4. Serpstat
alternative/moz-alternatives.md,alt-vs,/alternative/mangools-alternatives/,Mangools,6. Mangools,OK,6. Mangools
alternative/moz-alternatives.md,alt-vs,/alternative/ubersuggest-alternatives/,Ubersuggest,7. Ubersuggest,OK,7. Ubersuggest
alternative/moz-alternatives.md,alt-vs,/alternative/clearscope-alternatives/,Clearscope,7. Ubersuggest,MISPLACED,paragraph @ 38305-38643
alternative/mutiny-alternatives.md,alt-vs,/alternative/vwo-alternatives/,VWO,1. VWO,OK,1. VWO
alternative/nogood-alternatives.md,piperocket-vs,/compare/piperocket-digital-vs-nogood/,NoGood,(before any heading),MISPLACED,paragraph @ 2-222
alternative/nogood-alternatives.md,alt-vs,/alternative/cognism-alternatives/,Cognism,4. Refine Labs,FALSE-POSITIVE,fixed matcher finds NO valid location at all now
alternative/nogood-alternatives.md,alt-vs,/alternative/zoominfo-alternatives/,ZoomInfo,7. Directive Consulting,MISPLACED,paragraph @ 33407-33749
alternative/nogood-alternatives.md,alt-vs,/alternative/directive-consulting-alternatives/,Directive Consulting,7. Directive Consulting,OK,7. Directive Consulting
alternative/nogood-alternatives.md,piperocket-vs,/compare/piperocket-vs-directive-consulting/,Directive Consulting,7. Directive Consulting,OK,7. Directive Consulting
alternative/omniscient-digital-alternatives.md,alt-vs,/alternative/siege-media-alternatives/,Siege Media,1. Siege Media,OK,1. Siege Media
alternative/omniscient-digital-alternatives.md,piperocket-vs,/compare/piperocket-digital-vs-siege-media/,Siege Media,1. Siege Media,OK,1. Siege Media
alternative/omniscient-digital-alternatives.md,neutral,/compare/siege-media-vs-omniscient-digital/,Siege Media,1. Siege Media,OK,1. Siege Media
alternative/omniscient-digital-alternatives.md,alt-vs,/alternative/leadfeeder-alternatives/,Leadfeeder,4. Grow and Convert,FALSE-POSITIVE,fixed matcher finds NO valid location at all now
alternative/omniscient-digital-alternatives.md,alt-vs,/alternative/hotjar-alternatives/,Hotjar,7. Codeless,FALSE-POSITIVE,fixed matcher finds NO valid location at all now
alternative/omniscient-digital-alternatives.md,alt-vs,/alternative/zoominfo-alternatives/,ZoomInfo,10. Optimist,MISPLACED,paragraph @ 49465-49806
alternative/omniscient-digital-alternatives.md,alt-vs,/alternative/semrush-alternatives/,Semrush,10. Optimist,MISPLACED,paragraph @ 49465-49806
alternative/opteo-alternatives.md,neutral,/compare/optmyzr-vs-opteo/,Optmyzr,(before any heading),MISPLACED,1. Optmyzr
alternative/opteo-alternatives.md,alt-vs,/alternative/optmyzr-alternatives/,Optmyzr,1. Optmyzr,OK,1. Optmyzr
alternative/optimizely-alternatives.md,alt-vs,/alternative/ab-tasty-alternatives/,AB Tasty,1. Invesp,MISPLACED,paragraph @ 5230-5452
alternative/optimizely-alternatives.md,neutral,/compare/optimizely-vs-ab-tasty/,AB Tasty,1. Invesp,MISPLACED,paragraph @ 5230-5452
alternative/optimizely-alternatives.md,alt-vs,/alternative/vwo-alternatives/,VWO,1. Invesp,MISPLACED,paragraph @ 5230-5452
alternative/optimizely-alternatives.md,alt-vs,/alternative/hotjar-alternatives/,Hotjar,7. KlientBoost,MISPLACED,paragraph @ 29436-29662
alternative/optimizely-alternatives.md,alt-vs,/alternative/klientboost-alternatives/,KlientBoost,7. KlientBoost,OK,7. KlientBoost
alternative/optmyzr-alternatives.md,neutral,/compare/optmyzr-vs-opteo/,Opteo,(before any heading),MISPLACED,1. Opteo
alternative/optmyzr-alternatives.md,alt-vs,/alternative/opteo-alternatives/,Opteo,1. Opteo,OK,1. Opteo
alternative/powered-by-search-alternatives.md,alt-vs,/alternative/zoominfo-alternatives/,ZoomInfo,1. Directive Consulting,FALSE-POSITIVE,fixed matcher finds NO valid location at all now
alternative/powered-by-search-alternatives.md,alt-vs,/alternative/cognism-alternatives/,Cognism,3. Refine Labs,FALSE-POSITIVE,fixed matcher finds NO valid location at all now
alternative/raventools-alternatives.md,alt-vs,/alternative/semrush-alternatives/,Semrush,1. SE Ranking,MISPLACED,paragraph @ 7016-7303
alternative/raventools-alternatives.md,alt-vs,/alternative/ahrefs-alternatives/,Ahrefs,1. SE Ranking,MISPLACED,paragraph @ 9208-9404
alternative/refine-labs-alternatives.md,alt-vs,/alternative/zoominfo-alternatives/,ZoomInfo,1. Directive Consulting,FALSE-POSITIVE,fixed matcher finds NO valid location at all now
alternative/refine-labs-alternatives.md,neutral,/compare/directive-consulting-vs-refine-labs/,Directive Consulting,1. Directive Consulting,OK,1. Directive Consulting
alternative/refine-labs-alternatives.md,alt-vs,/alternative/klientboost-alternatives/,KlientBoost,5. KlientBoost,OK,5. KlientBoost
alternative/rollworks-alternatives.md,alt-vs,/alternative/cognism-alternatives/,Cognism,6. Refine Labs,FALSE-POSITIVE,fixed matcher finds NO valid location at all now
alternative/screaming-frog-alternatives.md,alt-vs,/alternative/sitebulb-alternatives/,Sitebulb,1. Sitebulb,OK,1. Sitebulb
alternative/screaming-frog-alternatives.md,alt-vs,/alternative/semrush-alternatives/,Semrush,2. Semrush Site Audit,OK,2. Semrush Site Audit
alternative/screaming-frog-alternatives.md,alt-vs,/alternative/ahrefs-alternatives/,Ahrefs,3. Ahrefs Site Audit,OK,3. Ahrefs Site Audit
alternative/screaming-frog-alternatives.md,alt-vs,/alternative/conductor-alternatives/,Conductor,7. Conductor Website Monitoring (formerly ContentKing),OK,7. Conductor Website Monitoring (formerly ContentKing)
alternative/semrush-alternatives.md,neutral,/compare/moz-vs-semrush/,?,(before any heading),UNRESOLVED,could not determine expected competitor name
alternative/semrush-alternatives.md,neutral,/compare/semrush-vs-serpstat/,Serpstat,(before any heading),MISPLACED,5. Serpstat
alternative/semrush-alternatives.md,neutral,/compare/ahrefs-vs-semrush/,Ahrefs,(before any heading),MISPLACED,1. Ahrefs
alternative/semrush-alternatives.md,alt-vs,/alternative/ahrefs-alternatives/,Ahrefs,1. Ahrefs,OK,1. Ahrefs
alternative/semrush-alternatives.md,alt-vs,/alternative/serpstat-alternatives/,Serpstat,5. Serpstat,OK,5. Serpstat
alternative/semrush-alternatives.md,alt-vs,/alternative/mangools-alternatives/,Mangools,6. Mangools,OK,6. Mangools
alternative/semrush-alternatives.md,alt-vs,/compare/ahrefs-vs-ubersuggest/,?,8. Ubersuggest,UNRESOLVED,could not determine expected competitor name
alternative/seobility-alternatives.md,alt-vs,/alternative/semrush-alternatives/,Semrush,1. Semrush,OK,1. Semrush
alternative/seobility-alternatives.md,alt-vs,/compare/ahrefs-vs-moz/,?,4. Moz Pro,UNRESOLVED,could not determine expected competitor name
alternative/seobility-alternatives.md,alt-vs,/alternative/serpstat-alternatives/,Serpstat,6. Serpstat,OK,6. Serpstat
alternative/seobility-alternatives.md,alt-vs,/alternative/mangools-alternatives/,Mangools,7. Mangools,OK,7. Mangools
alternative/seozoom-alternatives.md,alt-vs,/alternative/semrush-alternatives/,Semrush,1. Semrush,OK,1. Semrush
alternative/seozoom-alternatives.md,alt-vs,/alternative/serpstat-alternatives/,Serpstat,5. Serpstat,OK,5. Serpstat
alternative/seozoom-alternatives.md,alt-vs,/alternative/mangools-alternatives/,Mangools,6. Mangools,OK,6. Mangools
alternative/seozoom-alternatives.md,alt-vs,/alternative/seobility-alternatives/,Seobility,7. Seobility,OK,7. Seobility
alternative/seozoom-alternatives.md,alt-vs,/alternative/ubersuggest-alternatives/,Ubersuggest,8. Ubersuggest,OK,8. Ubersuggest
alternative/serpstat-alternatives.md,alt-vs,/alternative/ahrefs-alternatives/,Ahrefs,1. Ahrefs,OK,1. Ahrefs
alternative/serpstat-alternatives.md,alt-vs,/alternative/semrush-alternatives/,Semrush,2. Semrush,OK,2. Semrush
alternative/serpstat-alternatives.md,alt-vs,/alternative/mangools-alternatives/,Mangools,5. Mangools,OK,5. Mangools
alternative/siege-media-alternatives.md,alt-vs,/alternative/jasper-alternatives/,Jasper,1. Omniscient Digital,FALSE-POSITIVE,fixed matcher finds NO valid location at all now
alternative/siege-media-alternatives.md,alt-vs,/alternative/hotjar-alternatives/,Hotjar,1. Omniscient Digital,FALSE-POSITIVE,fixed matcher finds NO valid location at all now
alternative/siege-media-alternatives.md,alt-vs,/alternative/omniscient-digital-alternatives/,Omniscient Digital,1. Omniscient Digital,OK,1. Omniscient Digital
alternative/siege-media-alternatives.md,piperocket-vs,/compare/piperocket-digital-vs-omniscient-digital/,Omniscient Digital,1. Omniscient Digital,OK,1. Omniscient Digital
alternative/siege-media-alternatives.md,neutral,/compare/siege-media-vs-omniscient-digital/,Omniscient Digital,1. Omniscient Digital,OK,1. Omniscient Digital
alternative/siege-media-alternatives.md,neutral,/compare/siege-media-vs-animalz/,Animalz,3. Animalz,OK,3. Animalz
alternative/siege-media-alternatives.md,alt-vs,/alternative/leadfeeder-alternatives/,Leadfeeder,4. Grow and Convert,FALSE-POSITIVE,fixed matcher finds NO valid location at all now
alternative/simpletiger-alternatives.md,alt-vs,/alternative/zoominfo-alternatives/,ZoomInfo,1. Directive Consulting,FALSE-POSITIVE,fixed matcher finds NO valid location at all now
