Topic,Slug,Content type,Discipline,Category,Funnel stage,Notes,Needs experience?,Expert / Author,Section for insight,Optional questions for expert,Insight type,Source of insight,First-hand experience / Quote
How to keep content fresh and avoid AI citation decay,avoid-ai-citation-decay,Blog,Content,ai_seo_research_concepts,MOFU,NEW,Y,vignesh-sampath,Freshness cadence,"1) How often do you refresh to hold AI citations, from experience?  2) What signals that a page is decaying out of AI answers?  3) What's your update workflow?",Experience,Pull from client work,
How to win co-citations alongside category leaders,win-co-citations,Blog,Authority,offsite_brand_presence,MOFU,NEW,Y,ranjeeth,Co-citation engineering,1) Tell me about engineering a brand to appear next to category terms/leaders.  2) Why does co-occurrence matter so much for AI?  3) What's the practical playbook to build it?,Experience + Pull-quote,Pull from client work,
How to use TL;DR and summary blocks for AI extraction,tldr-blocks-for-ai,Blog,Content,geo_optimization_tactics,MOFU,NEW,Y,omar,Summary-block technique,1) Have TL;DR/summary blocks measurably helped citation pickups?  2) Where do summary blocks backfire?  3) How do you write one that AI lifts cleanly?,Experience,Pull from client work,
How to use internal entity linking for AI search,internal-entity-linking,Blog,Authority,knowledge_graph_entities,MOFU,NEW,Y,rohith,Entity-linking method,1) How does internal entity linking change AI's understanding of a site?  2) What's the difference vs normal internal linking?  3) What's your linking pattern for entity reinforcement?,Experience,audits,
How to optimise images for AI search (ImageObject schema),optimise-images-for-ai,Blog,Technical,structured_data_schema,MOFU,NEW,Y,vignesh-sampath,Image/multimodal markup,1) Have image optimisations driven multimodal AI citations?  2) What image-SEO steps matter now that didn't?  3) How do you prioritise image work?,Experience,Fresh,
What is Schema.org?,what-is-schema-org,Glossary,Technical,structured_data_schema,TOFU,NEW,N,ranjeeth,,,,,
What is FAQPage schema?,what-is-faqpage-schema,Glossary,Technical,structured_data_schema,TOFU,NEW,N,omar,,,,,
What is HowTo schema?,what-is-howto-schema,Glossary,Technical,structured_data_schema,TOFU,NEW,N,rohith,,,,,
What is a pull-quote?,what-is-a-pull-quote,Glossary,Content,geo_optimization_tactics,TOFU,NEW,N,vignesh-sampath,,,,,
How to write for humans and AI at the same time,write-for-humans-and-ai,Blog,Content,geo_optimization_tactics,MOFU,NEW,Y,ranjeeth,Dual-audience writing,1) How do you keep content human-readable while making it AI-extractable?  2) Where do teams over-optimise for machines and lose the reader?  3) What's your editorial standard for getting both?,Experience,Pull from client work,
