Topic,Slug,Content type,Discipline,Category,Funnel stage,Notes,Needs experience?,Expert / Author,Section for insight,Optional questions for expert,Insight type,Source of insight,First-hand experience / Quote
AEO vs GEO: which should you prioritise?,aeo-vs-geo,Blog,Strategy,discipline_comparisons,TOFU,NEW,Y,omar,Prioritisation heuristic,1) Give an example client where AEO mattered more than GEO (or vice versa) and why.  2) What signals tell you a brand should start with AEO vs GEO?  3) How do you explain the difference to a skeptical CMO?,Experience,Pull from client work,
How AI search engines decide which sources to cite,how-ai-engines-pick-sources,Blog,AI Search,how_ai_search_works,TOFU,NEW,Y,rohith,What we've observed picking apart citations,"1) From the citations we've analysed, what actually correlates with getting picked?  2) What do people wrongly assume drives AI citations?  3) How do you reverse-engineer why a competitor gets cited and a client doesn't?",Experience + Pull-quote,audits,
Why your content isn't showing up in ChatGPT,why-content-not-in-chatgpt,Blog,AI Search,how_ai_search_works,TOFU,NEW,Y,vignesh-sampath,Diagnostic checklist from real audits,1) What are the most common reasons a client's content is invisible to ChatGPT?  2) What's the fastest-fix issue you see most often?  3) When is it a content problem vs an authority problem?,Experience,audits,
What makes a page citable by AI,what-makes-a-page-citable,Blog,Content,geo_optimization_tactics,TOFU,NEW,Y,ranjeeth,Anatomy of a citation-friendly page,1) Walk through a page we made and AI started citing — what were the ingredients?  2) What page traits look good to humans but hurt AI extractability?  3) How much is format vs authority?,Experience + Pull-quote,Pull from client work,
"How to get your site crawled by AI bots (GPTBot, PerplexityBot, ClaudeBot)",allow-ai-crawlers,Blog,Technical,ai_crawlers_access,MOFU,NEW,Y,omar,robots.txt + rendering walkthrough,1) Tell me about a client blocking AI crawlers without realising it — how did we catch it?  2) What's the right default policy on allowing vs blocking AI crawlers?  3) How do you handle the allow-for-discovery vs protect-content tension?,Experience,audits,
How to set up llms.txt (and whether it's worth it),how-to-set-up-llms-txt,Blog,Technical,ai_crawlers_access,MOFU,NEW,Y,rohith,Implementation + honest verdict,"1) Have we implemented llms.txt for anyone, and did it change anything measurable?  2) Why is llms.txt contested — what's your read?  3) If a client insists on it, how do you implement it well?",Experience,Fresh,
How to build a brand entity Google's Knowledge Graph recognises,build-brand-entity-knowledge-graph,Blog,Authority,knowledge_graph_entities,MOFU,NEW,Y,vignesh-sampath,Entity-seeding playbook,1) Walk me through getting a client into the Knowledge Graph / earning a Knowledge Panel.  2) What entity-consistency mistakes block recognition?  3) How long does it realistically take and what's the sequence?,Experience + Pull-quote,Pull from client work,
How to get cited in Google AI Overviews,how-to-get-cited-in-ai-overviews,Blog,AI Search,ai_engines_answer_products,MOFU,NEW,Y,ranjeeth,AI Overviews optimisation steps,1) Show me a client page that started appearing in AI Overviews — what we changed.  2) What's overrated vs underrated for AI Overviews specifically?  3) How do you target the queries most likely to trigger an AI Overview?,Experience + Pull-quote,Pull from client work,
How to get cited by Perplexity,how-to-get-cited-by-perplexity,Blog,AI Search,ai_engines_answer_products,MOFU,NEW,Y,omar,Perplexity-specific tactics,1) What's worked specifically for Perplexity citations vs ChatGPT?  2) Why does Perplexity lean so hard on certain source types?  3) How do you tailor a page for Perplexity's retrieval?,Experience,Pull from client work,
How to optimise for Google AI Mode,how-to-optimise-for-ai-mode,Blog,AI Search,ai_engines_answer_products,MOFU,NEW,Y,rohith,AI Mode + Deep Search tactics,1) What have we learned about ranking inside AI Mode / Deep Search?  2) How is optimising for AI Mode different from AI Overviews?  3) What query types does AI Mode reward?,Experience,Fresh,
How to appear in ChatGPT search results,how-to-appear-in-chatgpt,Blog,AI Search,ai_engines_answer_products,MOFU,EXISTS — live at /blogs/how-to-rank-on-chatgpt-in-2026-strategies-and-tips/. EXPAND/refresh rather than new.,Y,vignesh-sampath,n/a — refresh existing,1) (refresh) What's changed since the original ChatGPT-ranking post?  2) (refresh) Any new client results to fold in?  3) (refresh) Which original tactics have decayed?,Experience,Pull from client work,
What is generative AI?,what-is-generative-ai,Glossary,AI Search,llm_concepts_in_ai_seo,TOFU,NEW,N,ranjeeth,,,,,
What is a transformer (AI model)?,what-is-a-transformer,Glossary,AI Search,llm_concepts_in_ai_seo,TOFU,NEW — practitioner-level,N,omar,,,,,
What is tokenization?,what-is-tokenization,Glossary,AI Search,llm_concepts_in_ai_seo,TOFU,NEW,N,rohith,,,,,
What is training data (and the training cutoff)?,what-is-training-data,Glossary,AI Search,llm_concepts_in_ai_seo,TOFU,NEW,N,vignesh-sampath,,,,,
What is Perplexity AI?,what-is-perplexity-ai,Glossary,AI Search,ai_engines_answer_products,TOFU,NEW,N,ranjeeth,,,,,
What is Google Gemini?,what-is-google-gemini,Glossary,AI Search,ai_engines_answer_products,TOFU,NEW,N,omar,,,,,
What is Microsoft Copilot?,what-is-microsoft-copilot,Glossary,AI Search,ai_engines_answer_products,TOFU,NEW,N,rohith,,,,,
What is Claude (Anthropic)?,what-is-claude,Glossary,AI Search,ai_engines_answer_products,TOFU,NEW,N,vignesh-sampath,,,,,
What is passage ranking?,what-is-passage-ranking,Glossary,AI Search,how_ai_search_works,TOFU,NEW,N,ranjeeth,,,,,
What is retrieval-augmented generation (RAG)?,what-is-rag-for-seo,Glossary,AI Search,how_ai_search_works,TOFU,DELETE/SKIP — already live at /glossary/what-is-rag/. Cross-link instead.,N,omar,,,,,
ChatGPT vs Perplexity vs Gemini: how each picks and cites sources,chatgpt-vs-perplexity-vs-gemini-citations,Blog,AI Search,ai_engines_answer_products,TOFU,NEW,Y,rohith,Engine-by-engine citation behaviour we've observed,"1) From client tracking, how do citation patterns differ across the three engines?  2) What do teams wrongly assume is the same across engines?  3) If you could only optimise for one engine for B2B SaaS, which and why?",Experience + Pull-quote,Pull from client work,
Do backlinks still matter for AI search?,do-backlinks-matter-for-ai-search,Blog,Authority,ai_seo_research_concepts,TOFU,NEW,Y,vignesh-sampath,Our read on links vs brand signals,"1) In client data, how do backlinks vs brand mentions track against AI citations?  2) What's the biggest misconception about links and AI search?  3) Where would you still invest in links for AI visibility?",Experience,PR POV,
How LLM training cutoffs affect your AI visibility,training-cutoffs-and-visibility,Blog,AI Search,llm_concepts_in_ai_seo,TOFU,NEW,Y,ranjeeth,Training data vs live retrieval explained,1) Have you seen a client helped/hurt by a model's training cutoff?  2) What do people misunderstand about training data vs live retrieval?  3) How do you optimise for both at once?,Experience,Fresh,
How to optimise for Microsoft Copilot,optimise-for-microsoft-copilot,Blog,AI Search,ai_engines_answer_products,MOFU,NEW,Y,omar,Copilot / Bing-index tactics,"1) What's worked for Copilot citations, given its Bing-index reliance?  2) Why do teams ignore Copilot, and is that a mistake?  3) How do you tie Copilot work to Bing Webmaster signals?",Experience,Pull from client work,
How to optimise for Google Gemini,optimise-for-gemini,Blog,AI Search,ai_engines_answer_products,MOFU,NEW,Y,rohith,Gemini-specific tactics,"1) What moves Gemini visibility vs AI Overviews (same model, different surface)?  2) What's distinct about Gemini's sourcing?  3) How do you track Gemini separately?",Experience,Pull from client work,
How to optimise for Grok and DeepSeek,optimise-for-grok-deepseek,Blog,AI Search,ai_engines_answer_products,MOFU,NEW — emerging engines,Y,vignesh-sampath,Emerging-engine tactics,1) Are any clients getting traffic from Grok/DeepSeek yet?  2) Is it worth optimising for emerging engines now or premature?  3) What's different about their sourcing?,Experience,Fresh,
How to show up in AI shopping/product discovery (ChatGPT & Bing),ai-shopping-product-discovery,Blog,AI Search,ai_engines_answer_products,MOFU,NEW — frontier commerce surface,Y,ranjeeth,Product-discovery optimisation,1) Have we optimised any SaaS for ChatGPT shopping / product discovery?  2) What product data do these surfaces need?  3) How relevant is this for B2B vs B2C SaaS?,Experience,Fresh,
How to do AI SEO for fintech SaaS,ai-seo-for-fintech-saas,Blog,Segment,funnel_buyer_context,MOFU,NEW — AI angle; fintech-seo-agency service page exists,Y,omar,Fintech AI-search nuances (YMYL/trust),"1) What's specific about winning AI citations in fintech (YMYL, compliance)?  2) What do fintech teams get wrong about AI SEO?  3) How does trust/authority weigh differently here?",Experience,Pull from client work,
How to do AI SEO for developer tools,ai-seo-for-devtools,Blog,Segment,funnel_buyer_context,MOFU,NEW — devtools-marketing-agency exists,Y,rohith,"Devtools AI-search (docs, GitHub, Stack Overflow)",1) How do docs/GitHub/Stack Overflow presence drive AI citations for devtools?  2) What's unique about how developers use AI search to evaluate tools?  3) Where do devtools brands miss AI-visibility wins?,Experience,Pull from client work,
How to do AI SEO for healthtech SaaS,ai-seo-for-healthtech,Blog,Segment,funnel_buyer_context,MOFU,NEW — healthtech-marketing-agency exists,Y,vignesh-sampath,Healthtech AI-search (YMYL/E-E-A-T heavy),1) How do you build the authority AI engines demand in health (YMYL)?  2) What's riskiest about AI SEO in healthtech?  3) How do you handle accuracy/hallucination concerns with clients?,Experience,Pull from client work,
How to do AI SEO for cybersecurity SaaS,ai-seo-for-cybersecurity,Blog,Segment,funnel_buyer_context,MOFU,NEW — cybersecurity-marketing-agency exists,Y,ranjeeth,Cybersecurity AI-search nuances,1) What earns AI citations in a credibility-obsessed category like security?  2) What do security brands get wrong about AI SEO?  3) How do you balance technical depth with extractability?,Experience,Pull from client work,
How to do AI SEO for HR tech SaaS,ai-seo-for-hrtech,Blog,Segment,funnel_buyer_context,MOFU,NEW — hrtech-marketing-agency exists,Y,omar,HR tech AI-search nuances,1) What's specific about AI-search buyer research in HR tech?  2) Where do HR tech brands under-invest in AI visibility?  3) Which content types win citations here?,Experience,Pull from client work,
How to do AI SEO for martech SaaS,ai-seo-for-martech,Blog,Segment,funnel_buyer_context,MOFU,NEW — martech-marketing-agency exists,Y,rohith,Martech AI-search nuances,1) Martech is crowded — how do you win AI recommendations in it?  2) What do martech brands get wrong about GEO?  3) How do you differentiate in AI answers?,Experience,Pull from client work,
